,Method 1,Method 2,Better Prob,Worse Prob,Equivalent Prob
0,Avatars K5,Avatars K10,0.00019812938503082042,3.990257362918026e-05,0.99976196804134
1,Avatars K5,CTGAN,0.9996146747998759,2.2781656355830293e-06,0.0003830470344885484
2,Avatars K5,Gaussian Copula,7.861525622304635e-05,0.0018227863399266075,0.9980985984038504
3,Avatars K5,Synthpop,0.27971556716200063,0.0002430795529489993,0.7200413532850504
4,Avatars K5,TVAE,0.9971360469534374,0.00013137019686426665,0.0027325828496983506
5,Avatars K10,Avatars K5,3.9902573629116557e-05,0.00019812938503083188,0.9997619680413401
6,Avatars K10,CTGAN,0.999875128094712,2.776722046737845e-07,0.0001245942330833083
7,Avatars K10,Gaussian Copula,1.0347054325706266e-06,0.0002210160351922008,0.9997779492593752
8,Avatars K10,Synthpop,0.02213894016575916,5.198095404745917e-05,0.9778090788801934
9,Avatars K10,TVAE,0.9964779582386496,0.00012170389113685953,0.0034003378702135434
10,CTGAN,Avatars K5,2.278165635557195e-06,0.9996146747998759,0.0003830470344885484
11,CTGAN,Avatars K10,2.776722046576272e-07,0.999875128094712,0.0001245942330833083
12,CTGAN,Gaussian Copula,7.400357766226515e-07,0.9999580641226353,4.119584158801537e-05
13,CTGAN,Synthpop,5.325600072310524e-05,0.16387712915246244,0.8360696148468144
14,CTGAN,TVAE,0.30913378691052085,0.0015300581646259248,0.6893361549248532
15,Gaussian Copula,Avatars K5,0.0018227863399266425,7.861525622310239e-05,0.9980985984038503
16,Gaussian Copula,Avatars K10,0.00022101603519216397,1.0347054325565708e-06,0.9997779492593752
17,Gaussian Copula,CTGAN,0.9999580641226353,7.400357766584875e-07,4.119584158801537e-05
18,Gaussian Copula,Synthpop,0.9745368688805024,1.0644599354181494e-05,0.025452486520143425
19,Gaussian Copula,TVAE,0.9993769877121117,4.113792229010205e-05,0.0005818743655982006
20,Synthpop,Avatars K5,0.00024307955294899263,0.27971556716200063,0.7200413532850504
21,Synthpop,Avatars K10,5.198095404749851e-05,0.022138940165759124,0.9778090788801934
22,Synthpop,CTGAN,0.16387712915246247,5.325600072314529e-05,0.8360696148468144
23,Synthpop,Gaussian Copula,1.0644599354213929e-05,0.9745368688805024,0.025452486520143425
24,Synthpop,TVAE,0.9627268556560921,0.00039380784155995663,0.03687933650234798
25,TVAE,Avatars K5,0.00013137019686428663,0.9971360469534374,0.0027325828496983506
26,TVAE,Avatars K10,0.00012170389113682852,0.9964779582386496,0.0034003378702135434
27,TVAE,CTGAN,0.0015300581646259304,0.30913378691052085,0.6893361549248532
28,TVAE,Gaussian Copula,4.113792229008369e-05,0.9993769877121117,0.0005818743655982006
29,TVAE,Synthpop,0.0003938078415599206,0.9627268556560921,0.03687933650234798
