,Method 1,Method 2,Better Prob,Worse Prob,Equivalent Prob
0,Avatars K5,Avatars K10,0.7923870101965744,0.03302432666175292,0.17458866314167265
1,Avatars K5,CTGAN,0.9999946721739932,1.5253099199252773e-06,3.8025160868926378e-06
2,Avatars K5,Gaussian Copula,0.002461941985050359,0.0005723532832241363,0.9969657047317255
3,Avatars K5,Synthpop,0.9998774137487437,1.6480143377961554e-05,0.0001061061078783121
4,Avatars K5,TVAE,0.9938452278618892,0.002451566298733221,0.0037032058393775547
5,Avatars K10,Avatars K5,0.03302432666175294,0.7923870101965744,0.17458866314167265
6,Avatars K10,CTGAN,0.9755028838716995,0.005434918271981837,0.019062197856318686
7,Avatars K10,Gaussian Copula,0.03507311650200702,0.7617942872278745,0.20313259627011848
8,Avatars K10,Synthpop,0.7794020784093568,0.024748288612169378,0.1958496329784738
9,Avatars K10,TVAE,0.9849027576691025,0.004545487978264928,0.010551754352632559
10,CTGAN,Avatars K5,1.5253099199141359e-06,0.9999946721739932,3.8025160868926378e-06
11,CTGAN,Avatars K10,0.005434918271981822,0.9755028838716994,0.019062197856318797
12,CTGAN,Gaussian Copula,1.8495625969873788e-06,0.9999932831772891,4.8672601139498894e-06
13,CTGAN,Synthpop,0.00016659020536739878,0.9954468555117758,0.004386554282856836
14,CTGAN,TVAE,0.566503885284642,0.1056290592931921,0.3278670554221659
15,Gaussian Copula,Avatars K5,0.0005723532832241464,0.002461941985050342,0.9969657047317255
16,Gaussian Copula,Avatars K10,0.7617942872278745,0.03507311650200695,0.2031325962701186
17,Gaussian Copula,CTGAN,0.9999932831772891,1.8495625969672247e-06,4.8672601139498894e-06
18,Gaussian Copula,Synthpop,0.9999227123953583,9.284491672034711e-06,6.800311296961681e-05
19,Gaussian Copula,TVAE,0.9947766540557411,0.0020094953553559947,0.003213850588902889
20,Synthpop,Avatars K5,1.6480143377956715e-05,0.9998774137487437,0.0001061061078783121
21,Synthpop,Avatars K10,0.024748288612169357,0.7794020784093568,0.1958496329784738
22,Synthpop,CTGAN,0.9954468555117759,0.00016659020536746727,0.004386554282856614
23,Synthpop,Gaussian Copula,9.284491672041024e-06,0.9999227123953583,6.800311296961681e-05
24,Synthpop,TVAE,0.9391523292718827,0.013396270679952305,0.04745140004816495
25,TVAE,Avatars K5,0.0024515662987331637,0.9938452278618892,0.0037032058393776657
26,TVAE,Avatars K10,0.004545487978264903,0.9849027576691026,0.010551754352632448
27,TVAE,CTGAN,0.10562905929319208,0.5665038852846419,0.327867055422166
28,TVAE,Gaussian Copula,0.0020094953553560207,0.9947766540557411,0.003213850588902889
29,TVAE,Synthpop,0.013396270679952336,0.9391523292718827,0.04745140004816495
