,Method 1,Method 2,Better Prob,Worse Prob,Equivalent Prob
0,Avatars K5,Avatars K10,0.00023548520546249425,4.037290521985426e-05,0.9997241418893177
1,Avatars K5,CTGAN,0.9999999930946835,3.22363524762892e-09,3.6816812931661502e-09
2,Avatars K5,Gaussian Copula,0.9980491694100949,2.2892724719114632e-05,0.001927937865185969
3,Avatars K5,Synthpop,0.9999965359267639,6.651853728945056e-07,2.798887863253441e-06
4,Avatars K5,TVAE,0.9999569918389594,2.5322773121727593e-05,1.7685387918908724e-05
5,Avatars K10,Avatars K5,4.037290521987648e-05,0.0002354852054624601,0.9997241418893177
6,Avatars K10,CTGAN,0.999999984131414,7.287590420013146e-09,8.58099558076475e-09
7,Avatars K10,Gaussian Copula,0.9819784660158865,0.00014187834635748242,0.017879655637756064
8,Avatars K10,Synthpop,0.9999928449081988,1.2701390718072858e-06,5.8849527293514114e-06
9,Avatars K10,TVAE,0.9999657183255681,2.001131492290753e-05,1.427035950896105e-05
10,CTGAN,Avatars K5,3.2236352459250783e-09,0.9999999930946833,3.6816814041884527e-09
11,CTGAN,Avatars K10,7.287590452491661e-09,0.9999999841314141,8.580995469742447e-09
12,CTGAN,Gaussian Copula,3.8299116039502916e-07,0.9999990270280225,5.899808172005194e-07
13,CTGAN,Synthpop,6.605870878191641e-08,0.9999997223194238,2.1162186736312094e-07
14,CTGAN,TVAE,0.9913287861430101,0.0017231000153310472,0.006948113841658832
15,Gaussian Copula,Avatars K5,2.2892724719132017e-05,0.9980491694100949,0.001927937865185969
16,Gaussian Copula,Avatars K10,0.0001418783463574767,0.9819784660158866,0.017879655637755953
17,Gaussian Copula,CTGAN,0.9999990270280225,3.829911604524838e-07,5.899808170894971e-07
18,Gaussian Copula,Synthpop,0.9996934137213818,1.9753213736817266e-05,0.0002868330648814199
19,Gaussian Copula,TVAE,0.9998584000194733,7.748508821814326e-05,6.411489230850886e-05
20,Synthpop,Avatars K5,6.651853729343328e-07,0.9999965359267639,2.798887863253441e-06
21,Synthpop,Avatars K10,1.2701390718339335e-06,0.9999928449081988,5.8849527293514114e-06
22,Synthpop,CTGAN,0.9999997223194238,6.605870872533615e-08,2.1162186747414324e-07
23,Synthpop,Gaussian Copula,1.975321373677625e-05,0.9996934137213818,0.0002868330648814199
24,Synthpop,TVAE,0.9997190427560445,0.0001291628017350277,0.00015179444222046534
25,TVAE,Avatars K5,2.5322773121761522e-05,0.9999569918389594,1.7685387918908724e-05
26,TVAE,Avatars K10,2.0011314922918098e-05,0.999965718325568,1.4270359509072073e-05
27,TVAE,CTGAN,0.0017231000153310077,0.9913287861430101,0.006948113841658832
28,TVAE,Gaussian Copula,7.748508821814821e-05,0.9998584000194733,6.411489230850886e-05
29,TVAE,Synthpop,0.00012916280173505274,0.9997190427560445,0.00015179444222046534
