,Method 1,Method 2,Better Prob,Worse Prob,Equivalent Prob
0,Avatars K5,Avatars K10,0.941562290595455,0.00012435147841960426,0.05831335792612535
1,Avatars K5,CTGAN,0.9989232821710015,0.0004645429950477231,0.0006121748339508182
2,Avatars K5,Gaussian Copula,9.760834414866252e-06,0.9999077552102679,8.24839553172918e-05
3,Avatars K5,Synthpop,3.8264789807700854e-05,0.9998739314324244,8.780377776784754e-05
4,Avatars K5,TVAE,0.987821671563244,0.0035196051033289377,0.008658723333427099
5,Avatars K10,Avatars K5,0.00012435147841959686,0.9415622905954552,0.05831335792612524
6,Avatars K10,CTGAN,0.9966183415981597,0.0013007148222853315,0.002080943579555017
7,Avatars K10,Gaussian Copula,1.0209379813563085e-06,0.9999948605186265,4.1185433921064885e-06
8,Avatars K10,Synthpop,1.971602309926341e-05,0.9999469650505306,3.331892637015166e-05
9,Avatars K10,TVAE,0.9664870501745428,0.0074478604686296634,0.026065089356827498
10,CTGAN,Avatars K5,0.0004645429950476923,0.9989232821710015,0.0006121748339508182
11,CTGAN,Avatars K10,0.0013007148222853183,0.9966183415981597,0.002080943579555017
12,CTGAN,Gaussian Copula,0.00016940941596275415,0.9996870798275718,0.0001435107564654592
13,CTGAN,Synthpop,6.857715361456176e-05,0.9998868829133257,4.453993305975068e-05
14,CTGAN,TVAE,0.05508071871041995,0.8426731734607787,0.10224610782880128
15,Gaussian Copula,Avatars K5,0.9999077552102679,9.760834414840325e-06,8.24839553172918e-05
16,Gaussian Copula,Avatars K10,0.9999948605186265,1.0209379813774788e-06,4.1185433921064885e-06
17,Gaussian Copula,CTGAN,0.9996870798275718,0.00016940941596277348,0.0001435107564654592
18,Gaussian Copula,Synthpop,0.00013069511522637535,0.9982152133816179,0.0016540915031557635
19,Gaussian Copula,TVAE,0.9981022926799255,0.0008353809989819494,0.0010623263210925993
20,Synthpop,Avatars K5,0.9998739314324244,3.8264789807729294e-05,8.780377776784754e-05
21,Synthpop,Avatars K10,0.9999469650505306,1.9716023099247693e-05,3.331892637015166e-05
22,Synthpop,CTGAN,0.9998868829133257,6.85771536145241e-05,4.453993305975068e-05
23,Synthpop,Gaussian Copula,0.9982152133816178,0.00013069511522634247,0.0016540915031558745
24,Synthpop,TVAE,0.9992127222821218,0.0004196434923083858,0.00036763422556984615
25,TVAE,Avatars K5,0.003519605103328904,0.987821671563244,0.008658723333427099
26,TVAE,Avatars K10,0.007447860468629631,0.9664870501745428,0.026065089356827498
27,TVAE,CTGAN,0.8426731734607787,0.055080718710419974,0.10224610782880128
28,TVAE,Gaussian Copula,0.0008353809989819484,0.9981022926799255,0.0010623263210925993
29,TVAE,Synthpop,0.00041964349230839255,0.9992127222821219,0.00036763422556973513
