,Method 1,Method 2,Better Prob,Worse Prob,Equivalent Prob
0,Avatars K5,Avatars K10,0.8928451711450098,0.0005360764055089007,0.10661875244948127
1,Avatars K5,CTGAN,0.9982766709516325,0.000846976194318505,0.0008763528540489673
2,Avatars K5,Gaussian Copula,0.0006177931924695012,0.9944864397718474,0.004895767035683174
3,Avatars K5,Synthpop,5.4547724421667414e-06,0.9999779533371327,1.659189042513276e-05
4,Avatars K5,TVAE,0.99855451836889,0.0007714293632713476,0.0006740522678386762
5,Avatars K10,Avatars K5,0.0005360764055089241,0.8928451711450097,0.10661875244948138
6,Avatars K10,CTGAN,0.995711014666438,0.0019460116103070524,0.002342973723254982
7,Avatars K10,Gaussian Copula,3.4176027262303864e-05,0.9998237264004811,0.00014209757225658315
8,Avatars K10,Synthpop,2.6599242968830707e-05,0.9999194537415299,5.394701550121006e-05
9,Avatars K10,TVAE,0.9984102087472645,0.0007802387593345284,0.0008095524934009779
10,CTGAN,Avatars K5,0.0008469761943185084,0.9982766709516325,0.0008763528540489673
11,CTGAN,Avatars K10,0.0019460116103069876,0.995711014666438,0.002342973723255093
12,CTGAN,Gaussian Copula,0.000582852056497622,0.9989970412266822,0.00042010671682013445
13,CTGAN,Synthpop,0.00018417510625247458,0.999703194820444,0.00011263007330353236
14,CTGAN,TVAE,0.5556544615369958,0.22390066785102003,0.22044487061198415
15,Gaussian Copula,Avatars K5,0.9944864397718475,0.0006177931924694624,0.004895767035683063
16,Gaussian Copula,Avatars K10,0.9998237264004811,3.41760272623004e-05,0.00014209757225658315
17,Gaussian Copula,CTGAN,0.9989970412266822,0.0005828520564976625,0.00042010671682013445
18,Gaussian Copula,Synthpop,0.002446191461806389,0.9551634482376244,0.042390360300569196
19,Gaussian Copula,TVAE,0.999588174814055,0.0002493113418375881,0.00016251384410737035
20,Synthpop,Avatars K5,0.9999779533371328,5.454772442181621e-06,1.6591890425021738e-05
21,Synthpop,Avatars K10,0.99991945374153,2.6599242968772252e-05,5.394701550121006e-05
22,Synthpop,CTGAN,0.9997031948204441,0.00018417510625245992,0.00011263007330342134
23,Synthpop,Gaussian Copula,0.9551634482376243,0.0024461914618063574,0.04239036030056931
24,Synthpop,TVAE,0.999653219507389,0.00022392806397697473,0.0001228524286340793
25,TVAE,Avatars K5,0.0007714293632712902,0.99855451836889,0.0006740522678387872
26,TVAE,Avatars K10,0.0007802387593344915,0.9984102087472645,0.0008095524934009779
27,TVAE,CTGAN,0.22390066785102,0.5556544615369958,0.22044487061198415
28,TVAE,Gaussian Copula,0.0002493113418376009,0.999588174814055,0.00016251384410737035
29,TVAE,Synthpop,0.00022392806397694757,0.999653219507389,0.0001228524286340793
