,Method 1,Method 2,Better Prob,Worse Prob,Equivalent Prob
0,Avatars K5,Avatars K10,0.9982049930457266,2.9543133550413714e-05,0.0017654638207229567
1,Avatars K5,CTGAN,0.9990951787951243,0.0003117167944653998,0.0005931044104102723
2,Avatars K5,Gaussian Copula,0.025172929783499283,0.013292082184717668,0.9615349880317831
3,Avatars K5,Synthpop,2.4159834252162297e-08,0.9999999117287954,6.411137032369396e-08
4,Avatars K5,TVAE,0.9998905841849692,8.112543097060776e-05,2.8290384060158935e-05
5,Avatars K10,Avatars K5,2.9543133550419338e-05,0.9982049930457266,0.0017654638207229567
6,Avatars K10,CTGAN,0.9959373389423067,0.0009694851071206934,0.0030931759505725687
7,Avatars K10,Gaussian Copula,0.0005457386628184253,0.9731266571990292,0.026327604138152383
8,Avatars K10,Synthpop,3.2996886734631196e-07,0.9999991299288976,5.401022350470797e-07
9,Avatars K10,TVAE,0.9997910782752937,0.00015136259483572445,5.755912987059908e-05
10,CTGAN,Avatars K5,0.0003117167944653699,0.9990951787951243,0.0005931044104102723
11,CTGAN,Avatars K10,0.0009694851071206523,0.9959373389423067,0.0030931759505725687
12,CTGAN,Gaussian Copula,7.898391519807973e-05,0.9997611729426636,0.00015984314213823847
13,CTGAN,Synthpop,3.056584303139157e-05,0.9999449261497285,2.450800724007607e-05
14,CTGAN,TVAE,0.999539061562113,0.000307442905891242,0.00015349553199572874
15,Gaussian Copula,Avatars K5,0.013292082184717668,0.025172929783499276,0.9615349880317831
16,Gaussian Copula,Avatars K10,0.9731266571990291,0.0005457386628184846,0.026327604138152383
17,Gaussian Copula,CTGAN,0.9997611729426638,7.898391519811643e-05,0.00015984314213812745
18,Gaussian Copula,Synthpop,7.694330014721064e-06,0.9999727472392695,1.9558430715771458e-05
19,Gaussian Copula,TVAE,0.9998906894332117,8.094851691664573e-05,2.836204987166635e-05
20,Synthpop,Avatars K5,0.9999999117287954,2.4159834244308342e-08,6.411137032369396e-08
21,Synthpop,Avatars K10,0.9999991299288976,3.299688673408241e-07,5.401022350470797e-07
22,Synthpop,CTGAN,0.9999449261497285,3.056584303140486e-05,2.450800724007607e-05
23,Synthpop,Gaussian Copula,0.9999727472392695,7.69433001468478e-06,1.9558430715771458e-05
24,Synthpop,TVAE,0.9999538404962862,3.618903999880185e-05,9.970463714981115e-06
25,TVAE,Avatars K5,8.112543097062443e-05,0.9998905841849692,2.8290384060158935e-05
26,TVAE,Avatars K10,0.00015136259483566393,0.9997910782752937,5.75591298707101e-05
27,TVAE,CTGAN,0.00030744290589126413,0.9995390615621129,0.00015349553199583976
28,TVAE,Gaussian Copula,8.09485169166541e-05,0.9998906894332117,2.836204987166635e-05
29,TVAE,Synthpop,3.6189039998814254e-05,0.9999538404962862,9.970463714981115e-06
