,Method 1,Method 2,Better Prob,Worse Prob,Equivalent Prob
0,Avatars K5,Avatars K10,0.3880296380221887,0.5659784412688813,0.04599192070892999
1,Avatars K5,CTGAN,0.9621624429455624,0.030399102022821034,0.007438455031616553
2,Avatars K5,Gaussian Copula,0.7768860065442704,0.18719008791347935,0.03592390554225022
3,Avatars K5,Synthpop,0.6891503537029806,0.2726232692143048,0.03822637708271459
4,Avatars K5,TVAE,0.11469579669146776,0.8513595191233907,0.033944684185141516
5,Avatars K10,Avatars K5,0.5659784412688813,0.3880296380221887,0.04599192070892999
6,Avatars K10,CTGAN,0.9773758619292374,0.018341911287739654,0.004282226783022924
7,Avatars K10,Gaussian Copula,0.7819273775933939,0.19081585004156487,0.027256772365041204
8,Avatars K10,Synthpop,0.7673163222070889,0.20071951130795251,0.03196416648495859
9,Avatars K10,TVAE,0.2862856500345323,0.6715176435978942,0.042196706367573444
10,CTGAN,Avatars K5,0.030399102022821055,0.9621624429455624,0.007438455031616553
11,CTGAN,Avatars K10,0.018341911287739637,0.9773758619292374,0.004282226783022924
12,CTGAN,Gaussian Copula,0.08667415396822625,0.8840845231804026,0.029241322851371043
13,CTGAN,Synthpop,0.12763323176260452,0.8446224037976262,0.027744364439769242
14,CTGAN,TVAE,0.0023674947700992118,0.9971097263726492,0.0005227788572516046
15,Gaussian Copula,Avatars K5,0.1871900879134793,0.7768860065442704,0.03592390554225022
16,Gaussian Copula,Avatars K10,0.19081585004156482,0.7819273775933939,0.027256772365041204
17,Gaussian Copula,CTGAN,0.8840845231804028,0.08667415396822631,0.029241322851370932
18,Gaussian Copula,Synthpop,0.39287902388685253,0.5453483818718436,0.06177259424130388
19,Gaussian Copula,TVAE,0.02131117718037711,0.9728879231499264,0.0058008996696964354
20,Synthpop,Avatars K5,0.2726232692143048,0.6891503537029806,0.03822637708271459
21,Synthpop,Avatars K10,0.20071951130795257,0.7673163222070889,0.03196416648495859
22,Synthpop,CTGAN,0.8446224037976262,0.12763323176260455,0.027744364439769242
23,Synthpop,Gaussian Copula,0.5453483818718436,0.3928790238868525,0.06177259424130388
24,Synthpop,TVAE,0.12772883724436634,0.8531141390555338,0.019157023700099862
25,TVAE,Avatars K5,0.8513595191233907,0.11469579669146779,0.033944684185141516
26,TVAE,Avatars K10,0.6715176435978942,0.2862856500345323,0.042196706367573444
27,TVAE,CTGAN,0.9971097263726492,0.002367494770099232,0.0005227788572516046
28,TVAE,Gaussian Copula,0.9728879231499264,0.021311177180377117,0.0058008996696964354
29,TVAE,Synthpop,0.8531141390555338,0.12772883724436634,0.019157023700099862
