,Method 1,Method 2,Better Prob,Worse Prob,Equivalent Prob
0,Avatars K5,Avatars K10,0.5792133248086839,0.36600348150307394,0.05478319368824214
1,Avatars K5,CTGAN,0.8853910127143623,0.09236825239694513,0.022240734888692604
2,Avatars K5,Gaussian Copula,0.39567967483293853,0.5583908732172289,0.045929451949832556
3,Avatars K5,Synthpop,0.8858841460834583,0.09331037115392848,0.02080548276261318
4,Avatars K5,TVAE,0.6763494890916224,0.2703077176204074,0.0533427932879702
5,Avatars K10,Avatars K5,0.3660034815030738,0.5792133248086839,0.05478319368824225
6,Avatars K10,CTGAN,0.9345065273656455,0.045432495044814836,0.02006097758953962
7,Avatars K10,Gaussian Copula,0.1429247509606065,0.798005324066642,0.05906992497275143
8,Avatars K10,Synthpop,0.9977599757172901,0.0013178954703797485,0.0009221288123301141
9,Avatars K10,TVAE,0.6491655477527036,0.22274970868966815,0.12808474355762822
10,CTGAN,Avatars K5,0.09236825239694514,0.8853910127143623,0.022240734888692604
11,CTGAN,Avatars K10,0.04543249504481477,0.9345065273656457,0.02006097758953962
12,CTGAN,Gaussian Copula,0.028051834778295662,0.963266060915216,0.008682104306488303
13,CTGAN,Synthpop,0.5135118563145796,0.32548187854957766,0.1610062651358427
14,CTGAN,TVAE,0.11870736049190597,0.8396184734439307,0.0416741660641633
15,Gaussian Copula,Avatars K5,0.5583908732172289,0.39567967483293853,0.045929451949832556
16,Gaussian Copula,Avatars K10,0.798005324066642,0.14292475096060653,0.05906992497275143
17,Gaussian Copula,CTGAN,0.963266060915216,0.028051834778295648,0.008682104306488303
18,Gaussian Copula,Synthpop,0.9809375894340078,0.01428791297051002,0.004774497595482208
19,Gaussian Copula,TVAE,0.8651384809521709,0.09688783838122728,0.03797368066660178
20,Synthpop,Avatars K5,0.09331037115392841,0.8858841460834583,0.020805482762613292
21,Synthpop,Avatars K10,0.0013178954703797535,0.9977599757172902,0.0009221288123300031
22,Synthpop,CTGAN,0.3254818785495778,0.5135118563145797,0.16100626513584249
23,Synthpop,Gaussian Copula,0.014287912970510085,0.9809375894340077,0.004774497595482208
24,Synthpop,TVAE,0.024084860938543468,0.960515656341406,0.015399482720050539
25,TVAE,Avatars K5,0.27030771762040745,0.6763494890916224,0.0533427932879702
26,TVAE,Avatars K10,0.2227497086896681,0.6491655477527036,0.12808474355762822
27,TVAE,CTGAN,0.8396184734439307,0.118707360491906,0.0416741660641633
28,TVAE,Gaussian Copula,0.09688783838122729,0.8651384809521709,0.03797368066660178
29,TVAE,Synthpop,0.960515656341406,0.02408486093854345,0.015399482720050539
