,Method 1,Method 2,Better Prob,Worse Prob,Equivalent Prob
0,Avatars K5,Avatars K10,0.08520395075360508,0.8372988402316771,0.0774972090147178
1,Avatars K5,CTGAN,0.489979194561878,0.1673627135068272,0.3426580919312948
2,Avatars K5,Gaussian Copula,0.3662407584087928,0.5795504558696336,0.054208785721573616
3,Avatars K5,Synthpop,0.9152474631823218,0.05704175886177831,0.027710777955899935
4,Avatars K10,Avatars K5,0.8372988402316771,0.0852039507536051,0.0774972090147178
5,Avatars K10,CTGAN,0.8683777639621224,0.07163377811306604,0.059988457924811556
6,Avatars K10,Gaussian Copula,0.507427011539561,0.43787933878361196,0.054693649676826994
7,Avatars K10,Synthpop,0.9562328199512891,0.031523519361231545,0.012243660687479396
8,CTGAN,Avatars K5,0.16736271350682724,0.4899791945618781,0.3426580919312947
9,CTGAN,Avatars K10,0.07163377811306598,0.8683777639621224,0.059988457924811556
10,CTGAN,Gaussian Copula,0.3534757737962175,0.5974805283902238,0.04904369781355866
11,CTGAN,Synthpop,0.8788128480403256,0.0840617326063322,0.03712541935334224
12,Gaussian Copula,Avatars K5,0.5795504558696336,0.3662407584087928,0.054208785721573616
13,Gaussian Copula,Avatars K10,0.4378793387836119,0.5074270115395612,0.05469364967682688
14,Gaussian Copula,CTGAN,0.5974805283902238,0.35347577379621753,0.04904369781355866
15,Gaussian Copula,Synthpop,0.8542787957871416,0.11805770491315526,0.02766349929970313
16,Synthpop,Avatars K5,0.0570417588617783,0.9152474631823218,0.027710777955899935
17,Synthpop,Avatars K10,0.03152351936123158,0.9562328199512891,0.012243660687479396
18,Synthpop,CTGAN,0.0840617326063322,0.8788128480403256,0.03712541935334224
19,Synthpop,Gaussian Copula,0.11805770491315519,0.8542787957871416,0.027663499299703243
