,Method 1,Method 2,Better Prob,Worse Prob,Equivalent Prob
0,Avatars K5,Avatars K10,0.01048487450899005,0.8648176600714383,0.12469746541957161
1,Avatars K5,CTGAN,0.022568732760371055,0.9479551095003897,0.029476157739239173
2,Avatars K5,Gaussian Copula,1.4844691218539105e-06,0.17071533288605534,0.8292831826448228
3,Avatars K5,Synthpop,0.9999999421363545,1.659529369479884e-08,4.126835184692368e-08
4,Avatars K5,TVAE,0.4391000107786691,0.5454784880954698,0.015421501125861048
5,Avatars K10,Avatars K5,0.12469746541957166,0.8648176600714383,0.01048487450899005
6,Avatars K10,CTGAN,0.18361353258681568,0.7821558951954867,0.03423057221769765
7,Avatars K10,Gaussian Copula,0.006692748389226114,0.8226763426191621,0.17063090899161182
8,Avatars K10,Synthpop,0.9999998619260634,3.894710687291081e-08,9.912682974455578e-08
9,Avatars K10,TVAE,0.6568979936423982,0.31823738703829685,0.024864619319304948
10,CTGAN,Avatars K5,0.02947615773923921,0.9479551095003897,0.02256873276037108
11,CTGAN,Avatars K10,0.034230572217697715,0.7821558951954866,0.18361353258681568
12,CTGAN,Gaussian Copula,0.0028305023361979197,0.48537074589046125,0.5117987517733408
13,CTGAN,Synthpop,0.9999991302784331,2.4876098447812467e-07,6.209605823981335e-07
14,CTGAN,TVAE,0.47871960777215805,0.48043241946460413,0.040847972763237816
15,Gaussian Copula,Avatars K5,0.8292831826448228,0.17071533288605534,1.4844691218485195e-06
16,Gaussian Copula,Avatars K10,0.17063090899161176,0.822676342619162,0.006692748389226177
17,Gaussian Copula,CTGAN,0.5117987517733408,0.48537074589046136,0.00283050233619786
18,Gaussian Copula,Synthpop,0.9999999792153229,5.745539044532677e-09,1.5039138046013534e-08
19,Gaussian Copula,TVAE,0.9177256332621996,0.07907078125555933,0.003203585482241089
20,Synthpop,Avatars K5,4.12683518447711e-08,1.659529369479884e-08,0.9999999421363545
21,Synthpop,Avatars K10,9.91268297298587e-08,3.8947106761888506e-08,0.9999998619260635
22,Synthpop,CTGAN,6.20960582430752e-07,2.4876098458914697e-07,0.999999130278433
23,Synthpop,Gaussian Copula,1.503913804419137e-08,5.745538933510375e-09,0.999999979215323
24,Synthpop,TVAE,7.81743837212369e-07,3.2864489707407074e-07,0.9999988896112657
25,TVAE,Avatars K5,0.015421501125861088,0.5454784880954698,0.4391000107786691
26,TVAE,Avatars K10,0.024864619319304938,0.31823738703829674,0.6568979936423983
27,TVAE,CTGAN,0.04084797276323787,0.48043241946460413,0.47871960777215805
28,TVAE,Gaussian Copula,0.003203585482241083,0.07907078125555944,0.9177256332621995
29,TVAE,Synthpop,0.9999988896112658,3.2864489696304844e-07,7.817438372192953e-07
