,Method 1,Method 2,Better Prob,Worse Prob,Equivalent Prob
0,Avatars K5,Avatars K10,0.003906473000561059,0.8018265575365905,0.1942669694628485
1,Avatars K5,CTGAN,3.6855937847886494e-05,0.0004590593058690917,0.999504084756283
2,Avatars K5,Gaussian Copula,1.515734983975817e-05,0.0004594562129712765,0.9995253864371889
3,Avatars K5,Synthpop,0.9999998055274139,5.694996141336617e-08,1.3752262473243348e-07
4,Avatars K5,TVAE,0.05584949112028574,0.7878204368781284,0.15633007200158588
5,Avatars K10,Avatars K5,0.19426696946284855,0.8018265575365904,0.003906473000561128
6,Avatars K10,CTGAN,0.0013605663467302072,0.023887503841310442,0.9747519298119594
7,Avatars K10,Gaussian Copula,9.054243608190022e-05,0.010898470433781227,0.9890109871301369
8,Avatars K10,Synthpop,0.9999997791100141,6.314111522520705e-08,1.5774887063280119e-07
9,Avatars K10,TVAE,0.2099320448641565,0.737061258672428,0.05300669646341549
10,CTGAN,Avatars K5,0.999504084756283,0.0004590593058690917,3.6855937847857234e-05
11,CTGAN,Avatars K10,0.9747519298119594,0.023887503841310442,0.0013605663467302076
12,CTGAN,Gaussian Copula,0.21949561693053768,0.7759732071311598,0.004531175938302545
13,CTGAN,Synthpop,0.9999995656430728,1.1423093637663584e-07,3.2012599082698046e-07
14,CTGAN,TVAE,0.9806632197752526,0.01774531818832803,0.0015914620364193555
15,Gaussian Copula,Avatars K5,0.999525386437189,0.0004594562129712765,1.5157349839700629e-05
16,Gaussian Copula,Avatars K10,0.9890109871301368,0.010898470433781338,9.054243608186407e-05
17,Gaussian Copula,CTGAN,0.004531175938302552,0.7759732071311598,0.21949561693053765
18,Gaussian Copula,Synthpop,0.9999999349665669,1.7510031091738654e-08,4.75234019914339e-08
19,Gaussian Copula,TVAE,0.9360871411676182,0.06079261529364555,0.0031202435387363003
20,Synthpop,Avatars K5,1.3752262470640448e-07,5.694996141336617e-08,0.9999998055274139
21,Synthpop,Avatars K10,1.5774887057115455e-07,6.314111533622935e-08,0.9999997791100141
22,Synthpop,CTGAN,3.201259908514573e-07,1.1423093637663584e-07,0.9999995656430728
23,Synthpop,Gaussian Copula,4.7523402024209847e-08,1.7510031091738654e-08,0.9999999349665669
24,Synthpop,TVAE,2.2137388207823578e-07,9.037138448686477e-08,0.9999996882547334
25,TVAE,Avatars K5,0.15633007200158586,0.7878204368781283,0.05584949112028581
26,TVAE,Avatars K10,0.05300669646341549,0.737061258672428,0.2099320448641565
27,TVAE,CTGAN,0.0015914620364193208,0.01774531818832803,0.9806632197752526
28,TVAE,Gaussian Copula,0.003120243538736311,0.06079261529364566,0.936087141167618
29,TVAE,Synthpop,0.9999996882547334,9.037138448686477e-08,2.2137388211440623e-07
