,Method 1,Method 2,Better Prob,Worse Prob,Equivalent Prob
0,Avatars K5,Avatars K10,0.002920362805460459,0.9598568010991191,0.03722283609542043
1,Avatars K5,CTGAN,3.306968437375223e-06,4.890119822409389e-06,0.9999918029117402
2,Avatars K5,Gaussian Copula,8.935510964634158e-06,1.5180303370332382e-05,0.9999758841856651
3,Avatars K5,Synthpop,0.9999972087807366,1.026514053537042e-06,1.7647052098501703e-06
4,Avatars K5,TVAE,0.0002988889758052556,0.0006726763092832488,0.9990284347149115
5,Avatars K10,Avatars K5,0.037222836095420396,0.9598568010991191,0.0029203628054604858
6,Avatars K10,CTGAN,1.7819075638520007e-05,2.7960658721903897e-05,0.9999542202656396
7,Avatars K10,Gaussian Copula,3.7046140640398223e-06,6.835375987113146e-06,0.9999894600099488
8,Avatars K10,Synthpop,0.9999971780901556,1.02011388647405e-06,1.8017959578786602e-06
9,Avatars K10,TVAE,0.00047815475628199347,0.0011684631625148434,0.9983533820812032
10,CTGAN,Avatars K5,0.9999918029117402,4.890119822520411e-06,3.306968437311042e-06
11,CTGAN,Avatars K10,0.9999542202656396,2.7960658721792875e-05,1.7819075638580983e-05
12,CTGAN,Gaussian Copula,0.325188311192498,0.6653578298981373,0.009453858909364676
13,CTGAN,Synthpop,0.9999996016401022,1.0466232336359127e-07,2.936975744827208e-07
14,CTGAN,TVAE,0.8868337455212041,0.1023805749944734,0.010785679484322519
15,Gaussian Copula,Avatars K5,0.999975884185665,1.5180303370332382e-05,8.935510964702686e-06
16,Gaussian Copula,Avatars K10,0.9999894600099489,6.8353759870021236e-06,3.7046140640706327e-06
17,Gaussian Copula,CTGAN,0.009453858909364666,0.6653578298981373,0.325188311192498
18,Gaussian Copula,Synthpop,0.9999998856990263,3.082112631780376e-08,8.347984736811753e-08
19,Gaussian Copula,TVAE,0.7561249122366793,0.23408854976955773,0.009786537993762945
20,Synthpop,Avatars K5,1.764705209915117e-06,1.0265140533149975e-06,0.9999972087807367
21,Synthpop,Avatars K10,1.8017959578534017e-06,1.0201138865850723e-06,0.9999971780901555
22,Synthpop,CTGAN,2.9369757441686306e-07,1.0466232347461357e-07,0.9999996016401022
23,Synthpop,Gaussian Copula,8.34798473283142e-08,3.082112631780376e-08,0.9999998856990263
24,Synthpop,TVAE,9.20032154194074e-07,3.6426966909530734e-07,0.9999987156981767
25,TVAE,Avatars K5,0.9990284347149117,0.0006726763092830268,0.0002988889758053226
26,TVAE,Avatars K10,0.9983533820812032,0.0011684631625148434,0.0004781547562819899
27,TVAE,CTGAN,0.010785679484322517,0.1023805749944734,0.8868337455212041
28,TVAE,Gaussian Copula,0.009786537993762915,0.23408854976955773,0.7561249122366793
29,TVAE,Synthpop,0.9999987156981767,3.6426966920632964e-07,9.200321541280587e-07
